sample	mean_HI	mean_h	triangle
IF_1303	0.03775180806597804	0.07181234651720263	upper
IF_1306	0.04084907769804292	0.07719639131111365	upper
IF_1308	0.04674874227227598	0.0892125053182321	upper
IF_1322	0.3943373305853374	0.6298313292635981	upper
IF_1325	0.7240639734089336	0.3601443470313409	upper
IP_1330	0.8280028106230876	0.260539537709275	upper
