	idx	Ne_A	Ne_A_B	Ne_B	T	likelihood	nlopt_exit_code	nlopt_time
43	43	522178.8837742742	837048.416164466	467971.0824659984	2504695.092402041	-233209217.5891007	NLOPT_XTOL_REACHED	00h:26m:08.102s
44	44	522423.7157602185	837145.4947131103	468604.59253428853	2510946.6400335035	-233301578.03235576	NLOPT_XTOL_REACHED	00h:26m:08.102s
45	45	523754.90300089243	836067.4513008023	468948.3269099517	2511837.8610184053	-233398907.53121346	NLOPT_XTOL_REACHED	00h:26m:08.102s
46	46	522133.6411781634	834131.371494383	469583.76476931036	2516298.6678765533	-233330910.3873187	NLOPT_XTOL_REACHED	00h:26m:08.102s
47	47	523288.2072316466	835796.1166141181	469767.67986857065	2510478.7500427742	-233412344.37620485	NLOPT_XTOL_REACHED	00h:26m:08.102s
48	48	522346.6186520768	836184.1749525622	469626.1178537543	2513128.9086040463	-233364771.6862293	NLOPT_XTOL_REACHED	00h:26m:08.102s
49	49	523895.9568796453	836960.6427066027	469173.42299053405	2511053.387561317	-233429449.62527817	NLOPT_XTOL_REACHED	00h:26m:08.102s
50	50	520685.01985301	839403.3932211477	468642.7443652785	2504381.298410873	-233221674.88866636	NLOPT_XTOL_REACHED	00h:26m:08.102s
51	51	522904.9219008053	837786.5995343563	468658.21712651453	2505769.1312610367	-233320379.27773023	NLOPT_XTOL_REACHED	00h:26m:08.102s
52	52	522783.4753093731	836482.5289710219	470062.19052118505	2509243.746827368	-233419710.11972895	NLOPT_XTOL_REACHED	00h:26m:08.102s
53	53	521892.130523748	840115.2078748598	468642.35820642713	2510407.974810883	-233320241.8350725	NLOPT_XTOL_REACHED	00h:26m:08.102s
54	54	523331.9540794771	837023.9269388072	468606.8841872751	2506843.851204957	-233342411.0194749	NLOPT_XTOL_REACHED	00h:26m:08.102s
55	55	521597.62052338687	834735.323395972	469245.9063140325	2508175.4329262185	-233242496.0261708	NLOPT_XTOL_REACHED	00h:26m:08.102s
56	56	523302.5090348843	836031.1896422402	468521.6062814699	2507947.901710527	-233313605.91118243	NLOPT_XTOL_REACHED	00h:26m:08.102s
57	57	524286.62662696326	835979.6642368275	469523.78070685506	2509519.592091824	-233444466.1693766	NLOPT_XTOL_REACHED	00h:26m:08.102s
58	58	522104.4464532599	839254.0824554528	469271.6215147468	2505717.3311204687	-233353223.7530605	NLOPT_XTOL_REACHED	00h:26m:08.102s
59	59	522020.5163499002	838437.8733136386	468477.9409185677	2507999.125744195	-233285729.18929896	NLOPT_XTOL_REACHED	00h:26m:08.102s
60	60	521127.03923874884	837425.8416845616	469249.599724657	2508443.297304566	-233262623.0073917	NLOPT_XTOL_REACHED	00h:26m:08.102s
61	61	522174.78647082037	835406.41816244	468606.00724847784	2508014.81411439	-233262072.41591108	NLOPT_XTOL_REACHED	00h:26m:08.102s
62	62	522073.19967075065	837505.611195516	467663.45655992953	2504484.483073777	-233190375.99471757	NLOPT_XTOL_REACHED	00h:26m:08.102s
63	63	524662.1625543939	835628.218260346	468883.2389406569	2511169.6971831587	-233443401.6081719	NLOPT_XTOL_REACHED	00h:26m:08.102s
64	64	523477.71692576463	832722.4395196156	468854.4822005999	2514499.6125644427	-233310529.8616773	NLOPT_XTOL_REACHED	00h:26m:08.102s
65	65	522866.46525496565	835148.0325290766	470549.73939417204	2513400.446305856	-233465438.81969672	NLOPT_XTOL_REACHED	00h:26m:08.102s
66	66	519901.3531088008	839620.567382323	467766.71039981314	2500166.37731685	-233086788.65135822	NLOPT_XTOL_REACHED	00h:26m:08.102s
67	67	522054.8265922207	838606.307197878	468258.8735162771	2504489.481024388	-233263535.13255832	NLOPT_XTOL_REACHED	00h:26m:08.102s
68	68	523631.3586490621	837860.431688572	468615.6879296709	2507560.9797612783	-233387189.9588153	NLOPT_XTOL_REACHED	00h:26m:08.102s
69	69	522760.50724266405	837714.8539409587	468273.4996631938	2505697.79636958	-233305259.9776028	NLOPT_XTOL_REACHED	00h:26m:08.102s
70	70	522725.0839868846	836766.7309459384	469420.12907737115	2509945.03787507	-233356900.1365052	NLOPT_XTOL_REACHED	00h:26m:08.102s
71	71	523387.73439233244	836316.1428882795	468557.8598004743	2509802.7844155086	-233332482.67929935	NLOPT_XTOL_REACHED	00h:26m:08.102s
72	72	522492.5993946473	837833.4152198762	468709.9619701902	2508001.53005044	-233306823.27283508	NLOPT_XTOL_REACHED	00h:26m:08.102s
73	73	523858.3333406957	835881.4498903352	469546.28484203346	2513108.913826545	-233449610.26983136	NLOPT_XTOL_REACHED	00h:26m:08.102s
74	74	523348.5323762797	834293.3192453342	469683.28416396474	2510063.8048350317	-233387342.9681704	NLOPT_XTOL_REACHED	00h:26m:08.102s
75	75	522626.5711438845	837256.0989272904	468867.01172476436	2509990.580985988	-233341474.84091	NLOPT_XTOL_REACHED	00h:26m:08.102s
76	76	523707.14922067005	838730.3242176359	469421.9495467107	2506882.4180252464	-233444048.84948042	NLOPT_XTOL_REACHED	00h:26m:08.102s
77	77	522944.3101268568	836403.5181610757	468829.53614243155	2509224.9995406773	-233326079.2781632	NLOPT_XTOL_REACHED	00h:26m:08.102s
78	78	523029.83713759563	837452.7132973535	468791.3734184621	2509095.766247453	-233352417.98215657	NLOPT_XTOL_REACHED	00h:26m:08.102s
