	idx	Ne_A	Ne_A_B	Ne_B	T	likelihood	me	nlopt_exit_code	nlopt_time
37	37	533814.4601458381	707149.422993312	448309.1167688044	2816203.8479219093	-233262352.48894817	1.5301838680262094e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
38	38	533732.1190125875	704196.5099213099	448842.3724123896	2815939.965340613	-233186988.39019984	1.5078839142891623e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
39	39	533830.0069271452	714516.8627356424	448059.3646475381	2801783.2027982567	-233263237.85510895	1.5117380454680713e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
40	40	534099.2777925637	708794.648743064	448276.72061868256	2809099.783822954	-233218620.4152507	1.4948223522252064e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
41	41	532029.6844039145	708000.050920857	448609.0874710572	2809635.377878892	-233100048.69944432	1.4975548297292553e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
42	42	533871.2132877009	708216.3338652104	447840.361025242	2810013.938253576	-233179901.4443532	1.5113548883486036e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
43	43	533078.4809359184	712055.4532814607	447720.0412768947	2799802.894935469	-233098389.45112613	1.4829381988747635e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
44	44	533512.1832122707	708696.9983432553	447874.9915687787	2813863.4871481843	-233187404.66952345	1.5071909712721426e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
45	45	534924.4489782365	706837.9653102406	448111.3169913551	2816451.9895133376	-233283358.1971681	1.513544862171241e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
46	46	533063.784150194	705939.3688257526	448970.1645902578	2818365.169220945	-233217392.82622007	1.4951431862540193e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
47	47	534332.1121339111	708295.5856404976	449153.25521726854	2811265.359617479	-233299150.63901955	1.5016012226978007e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
48	48	533328.3019422533	708729.7687565739	449103.5478117236	2813574.9430620815	-233252374.67876047	1.4928544633790402e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
49	49	535185.2177650817	706650.776400271	448192.48565383186	2818139.3295856523	-233313115.90936813	1.5244671194601134e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
50	50	531632.0468931324	714059.8466261623	448341.59070898057	2800427.6344571924	-233111592.7750853	1.4877973599112937e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
51	51	533943.6477392272	711194.057630966	448084.27096770064	2804786.880457118	-233207756.6955045	1.5021518909910422e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
52	52	533779.719018093	709666.0535326748	449543.4047730331	2808525.59744842	-233307644.04327607	1.4967295272096532e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
53	53	532918.1011700267	713068.7338929832	448121.075010926	2810139.617498876	-233207545.8787005	1.4943933780379418e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
54	54	534526.4337661174	708293.0539571552	447739.5608348215	2810727.848892331	-233227248.64609215	1.521221744076048e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
55	55	532463.5363875392	709023.8540263801	448831.61762872	2805099.185670744	-233131180.9413436	1.4897165377707051e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
56	56	534144.3785157488	711674.4226592627	448380.9323404849	2801425.670082234	-233204282.2825616	1.4721834908350479e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
57	57	535526.1503268181	706764.3286532647	448479.0934320609	2814659.467240037	-233329327.82990983	1.5276615672471016e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
58	58	533070.8724956249	713617.6365310407	448800.5008850021	2802716.3438461367	-233241960.28272212	1.495984383812751e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
59	59	533132.9461234321	710366.4649130398	447797.70819305663	2810118.497735798	-233171744.85468653	1.5074523986701548e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
60	60	532144.8309775175	709803.7852203291	448586.2514964021	2809806.9938032893	-233149393.86649695	1.5074588339672595e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
61	61	533053.0967564983	709632.1308655369	448195.6829946816	2805045.367318878	-233150428.817334	1.4895034351470744e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
62	62	533106.5218201536	711011.4768647021	447181.1895364068	2803074.71984645	-233078072.81807408	1.4980217318130407e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
63	63	535864.5940877304	706614.414948551	448114.1379173536	2815126.1811350374	-233328441.4237925	1.5100461284952962e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
64	64	534300.7419649977	706869.8430487963	448626.15742933354	2810935.0814972767	-233199858.31873155	1.4716219078936669e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
65	65	533990.1238467842	705585.2754442422	449667.8547062147	2818891.020410642	-233350087.52613983	1.5171389227529367e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
