chrom,bootstrap_outlier,InWindowVariance,ChrBased,GlobalVariance,nSites,nUniqueJuncts,MeanIndWindowHIs,InWindowPvariance,Dbar,MeanDI
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.077670976,0.07826604,0.082684196,76,5,0.40114035087719296,0.009998269,0.1543434640402175,-10.82665234
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.081541575,0.083039153,0.088785067,81,5,0.41544495884773663,0.00968687,0.16220714551843005,-10.7372134
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.073067313,0.076217916,0.083581845,82,5,0.4328766435812506,0.013963249388591448,0.14508034688148033,-10.88393045
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.060888883174018325,0.066836956,0.07614951,90,5,0.45387016229712857,0.015658299,0.12053691272235473,-11.16440406
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.054139635778483096,0.059018912,0.067656483,92,5,0.44659822866344606,0.014989333910943078,0.10691795677289795,-11.14995347
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.054360688,0.057425314,0.064717663,92,5,0.43210547504025765,0.018728044265910522,0.10742532240313694,-11.20543318
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.048361845,0.049350417,0.054422736937846126,88,5,0.40818798449612403,0.023493134,0.095328819,-11.3287929
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.04520253,0.048543781,0.056063028,85,5,0.4345499645641389,0.024534640522875815,0.088848195,-11.66375441
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.040760122913616255,0.041125208275520166,0.045052648,79,5,0.3958536189548848,0.024646068115864624,0.079815282,-11.7104691
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.038528395,0.039709328,0.045052973,75,5,0.4111111111111111,0.031728395,0.075255255,-11.86807761
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.04503708,0.056006515,0.06788196,72,5,0.48148148148148145,0.035729595336076815,0.088329747,-11.9888581
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.053882175,0.075020138,0.090669095,64,5,0.5221354166666666,0.033906725,0.1060526207010582,-12.12616752
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.055332788792356626,0.081919586,0.099208267,67,5,0.5398009950248757,0.030961486101829163,0.10904756520428163,-12.28469382
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.059169024233126796,0.093288415,0.11258756300650735,66,5,0.5614607614607615,0.030172941536577902,0.11683479331551773,-12.50336492
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.077029259,0.10996853567663784,0.1289685662457702,68,5,0.5582382206613989,0.023720864571318723,0.15303122063105154,-11.70506325
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.097769961,0.11593395606276126,0.13059761227203298,77,5,0.5115202779676464,0.020642417,0.19509669921826175,-10.93760413
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.10882619656967048,0.12412121225045844,0.13775448430840134,94,5,0.5004194310989095,0.016904457,0.21748633965093303,-10.88503125
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.12031739641950198,0.12846869125465973,0.13900283229920596,93,5,0.4670309334580022,0.015158849449518891,0.24070958198723413,-10.67140604
iphiclides_podalirius.IP_504.chromosome_2,FALSE,0.12506633835936007,0.1381745251798186,0.1509555183660434,95,5,0.4912374020156775,0.010571991,0.25024737300833844,-10.40977698
